feature_index,NO2_t-1,NO2_t-2,NO2_t-3,NO2
0.0,0.20207746208530625,0.20207746208530625,0.20207746208530625,2.8112128347856924e-05
0.0,0.20207746208530625,0.20207746208530625,0.20207746208530625,2.8112128347856924e-05
0.0,0.20207746208530625,0.20207746208530625,0.20207746208530625,2.834538281604182e-05
0.0,0.2033316152825263,0.20207746208530625,0.20207746208530625,3.2349811226595195e-05
0.0,0.22486246411562738,0.2033316152825263,0.20207746208530625,3.635423963714857e-05
0.0,0.24639331294872846,0.22486246411562738,0.2033316152825263,4.035866804770194e-05
0.0,0.2679241617818295,0.24639331294872846,0.22486246411562738,4.436309645825531e-05
0.0,0.2894550106149306,0.2679241617818295,0.24639331294872846,4.836752486880869e-05
0.0,0.3109858594480317,0.2894550106149306,0.2679241617818295,7.266955435625277e-05
0.0,0.4416520293944726,0.3109858594480317,0.2894550106149306,9.697158384369686e-05
0.0,0.5723181993409135,0.4416520293944726,0.3109858594480317,4.610198448062874e-05
0.0,0.29880459345395516,0.5723181993409135,0.4416520293944726,3.72459071513731e-05
0.0,0.2511875948011795,0.29880459345395516,0.5723181993409135,2.8479101274569985e-05
0.0,0.20405058728591574,0.2511875948011795,0.29880459345395516,1.9712295397766862e-05
0.0,0.15691357977065198,0.20405058728591574,0.2511875948011795,2.029645111178979e-05
0.0,0.16005444460431292,0.15691357977065198,0.20405058728591574,2.088060682581272e-05
0.0,0.1631953094379739,0.16005444460431292,0.15691357977065198,2.1464762539835647e-05
0.0,0.16633617427163483,0.1631953094379739,0.16005444460431292,2.204891825385857e-05
0.0,0.16947703910529574,0.16633617427163483,0.1631953094379739,2.26330739678815e-05
0.0,0.1726179039389567,0.16947703910529574,0.16633617427163483,2.190339930368484e-05
0.0,0.16869461869536034,0.1726179039389567,0.16947703910529574,2.1173724639488177e-05
0.0,0.16477133345176398,0.16869461869536034,0.1726179039389567,2.044404997529152e-05
0.0,0.16084804820816762,0.16477133345176398,0.16869461869536034,1.9714375311094853e-05
0.0,0.15692476296457122,0.16084804820816762,0.16477133345176398,1.89847006468982e-05
0.0,0.1530014777209749,0.15692476296457122,0.16084804820816762,1.825502598270153e-05
0.0,0.14907819247737847,0.1530014777209749,0.15692476296457122,1.752535131850487e-05
0.0,0.1451549072337821,0.14907819247737847,0.1530014777209749,1.6795676654308205e-05
0.0,0.14123162199018574,0.1451549072337821,0.14907819247737847,1.6066001990111545e-05
0.0,0.13730833674658938,0.14123162199018574,0.1451549072337821,1.4987574468250388e-05
0.0,0.1315098912332534,0.13730833674658938,0.14123162199018574,1.3909146946389229e-05
0.0,0.12571144571991738,0.1315098912332534,0.13730833674658938,1.2830719424528067e-05
0.0,0.11991300020658138,0.12571144571991738,0.1315098912332534,1.175229190266691e-05
0.0,0.11411455469324538,0.11991300020658138,0.12571144571991738,1.0673864380805751e-05
0.0,0.10831610917990939,0.11411455469324538,0.11991300020658138,1.211600269576033e-05
0.0,0.11607014018565266,0.10831610917990939,0.11411455469324538,1.3558141010714908e-05
0.0,0.12382417119139595,0.11607014018565266,0.10831610917990939,1.5000279325669486e-05
0.0,0.13157820219713923,0.12382417119139595,0.11607014018565266,1.6442417640624066e-05
0.0,0.13933223320288252,0.13157820219713923,0.12382417119139595,1.7884555955578642e-05
0.0,0.14708626420862578,0.13933223320288252,0.13157820219713923,1.9326694270533226e-05
0.0,0.1548402952143691,0.14708626420862578,0.13933223320288252,2.07688325854878e-05
0.0,0.16259432622011233,0.1548402952143691,0.14708626420862578,2.221097090044238e-05
0.0,0.17034835722585562,0.16259432622011233,0.1548402952143691,2.365310921539696e-05
0.0,0.1781023882315989,0.17034835722585562,0.16259432622011233,2.509524753035153e-05
0.0,0.18585641923734214,0.1781023882315989,0.17034835722585562,2.653738584530611e-05
0.0,0.19361045024308543,0.18585641923734214,0.1781023882315989,2.797952416026069e-05
0.0,0.20136448124882872,0.19361045024308543,0.18585641923734214,2.942166247521527e-05
0.0,0.209118512254572,0.20136448124882872,0.19361045024308543,1.2975494428246748e-05
0.0,0.12069142059528494,0.209118512254572,0.20136448124882872,3.574417132767849e-05
0.0,0.24311312231916227,0.12069142059528494,0.209118512254572,3.192248004779685e-05
0.0,0.22256480710467175,0.24311312231916227,0.12069142059528494,2.810078876791522e-05
0.0,0.20201649189018117,0.22256480710467175,0.24311312231916227,3.096440923400223e-05
0.0,0.21741349067487759,0.20201649189018117,0.22256480710467175,2.255688377772458e-05
0.0,0.1722082476038576,0.21741349067487759,0.20201649189018117,3.461922096903436e-05
0.0,0.23706453469729927,0.1722082476038576,0.21741349067487759,3.3405263820895925e-05
0.0,0.23053737896702137,0.23706453469729927,0.1722082476038576,3.219130667275749e-05
0.0,0.22401022323674347,0.23053737896702137,0.23706453469729927,3.097734952461906e-05
0.0,0.21748306750646557,0.22401022323674347,0.23053737896702137,2.964930718007963e-05
0.0,0.21034250310309693,0.21748306750646557,0.22401022323674347,2.8321264835540205e-05
0.0,0.20320193869972825,0.21034250310309693,0.21748306750646557,2.699322249100078e-05
0.0,0.19606137429635961,0.20320193869972825,0.21034250310309693,3.0514574973494742e-05
0.0,0.21499484000368274,0.19606137429635961,0.20320193869972825,4.399286262923852e-05
0.0,0.28746435232660844,0.21499484000368274,0.19606137429635961,3.624857345130295e-05
0.0,0.24582517127132536,0.28746435232660844,0.21499484000368274,3.575171675558003e-05
0.0,0.2431536922709439,0.24582517127132536,0.28746435232660844,3.5254860059857105e-05
0.0,0.2404822132705624,0.2431536922709439,0.24582517127132536,3.475800336413419e-05
0.0,0.23781073427018096,0.2404822132705624,0.2431536922709439,3.4261146668411265e-05
