0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram mode,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,label
466.5603008856997,192.47702591738434,23270.0,93081.0,-0.000274658203125,0.000274658203125,8.594609460946094e-06,1.7189218921892188e-05,2.5783828382838284e-05,3.4378437843784377e-05,4.2973047304730476e-05,5.156765676567657e-05,6.016226622662266e-05,6.875687568756875e-05,7.735148514851485e-05,8.594609460946095e-05,0.4800289786010075,-0.047219848632812506,0.00030517578125,14.738695359234054,0.56854248046875,1.1257081404246382e-05,0.023952637621889875,0.0,0.000152587890625,-0.551025390625,1.11956787109375,0.06332379944455395,0.13702303291162765,0.0633237984439674,0.004009903449372209,buka
579.6320372261107,335.43925089342457,16588.0,66355.0,-0.003570556640625,0.003326416015625,1.2056327160493826e-05,2.4112654320987653e-05,3.616898148148148e-05,4.8225308641975306e-05,6.028163580246913e-05,7.233796296296296e-05,8.439429012345679e-05,9.645061728395061e-05,0.00010850694444444444,0.00012056327160493826,0.62783332633452,0.037806701660156206,0.00323486328125,11.629617454812378,0.6514892578125,-2.9728736406491126e-05,0.03570846770645196,0.0,0.001617431640625,-0.712249755859375,1.363739013671875,0.08359565463289062,0.006383380479018106,0.08359564934674388,0.00698823258970376,buka
577.4446591166779,381.91310558181937,0.0,0.0,0.0,0.0,1.3778659611992945e-05,2.755731922398589e-05,4.1335978835978834e-05,5.511463844797178e-05,6.889329805996472e-05,8.267195767195767e-05,9.645061728395061e-05,0.00011022927689594356,0.0001240079365079365,0.00013778659611992945,0.712401815720003,0.0229949951171875,0.016876220703125,20.409466349288873,0.805633544921875,-3.969017580493207e-06,0.039157339232454805,0.0,0.008453369140625,-0.933563232421875,1.73919677734375,0.08919872982689835,-0.1786871151176214,0.08919872973859495,0.007956413386978905,buka
354.8698205286637,205.3669554438091,16588.0,66355.0,-0.00628662109375,0.00634765625,1.2056327160493826e-05,2.4112654320987653e-05,3.616898148148148e-05,4.8225308641975306e-05,6.028163580246913e-05,7.233796296296296e-05,8.439429012345679e-05,9.645061728395061e-05,0.00010850694444444444,0.00012056327160493826,0.6558064020136988,0.018261718750000044,0.00742340087890625,11.993325638054623,0.457550048828125,-7.570157816380631e-06,0.02767508443679501,0.0,0.00372314453125,-0.518646240234375,0.9761962890625,0.06540968319506905,-0.2865928215577123,0.06540968275700479,0.004278426598372009,buka
871.1986692743376,684.9158320394432,12211.0,48844.0,-0.019622802734375,0.01904296875,1.637840670859539e-05,3.275681341719078e-05,4.9135220125786166e-05,6.551362683438155e-05,8.189203354297694e-05,9.827044025157233e-05,0.00011464884696016772,0.0001310272536687631,0.00014740566037735848,0.0001637840670859539,0.7454289685240023,0.029725646972656283,0.022613525390625,7.401034641740081,0.675872802734375,-5.759533096409444e-06,0.05769288169071679,0.0,0.011322021484375,-0.760009765625,1.435882568359375,0.11945227553028107,-0.04909471581273813,0.1194522753914297,0.014268846096189962,buka
394.72474949713796,210.85958461813613,17971.0,71884.0,-0.00164794921875,0.00177001953125,1.112891737891738e-05,2.225783475783476e-05,3.338675213675214e-05,4.451566951566952e-05,5.5644586894586896e-05,6.677350427350428e-05,7.790242165242165e-05,8.903133903133904e-05,0.00010016025641025641,0.00011128917378917379,0.5466490289826388,-0.0361175537109375,0.0006103515625,14.18609905360109,0.60589599609375,-3.837791942802929e-08,0.026939286539558873,0.0,0.00030517578125,-0.5614013671875,1.16729736328125,0.06627864757648202,0.04570498965803146,0.06627864757647092,0.004392859124566035,buka
922.4160930570215,873.5173213395354,10137.0,40550.0,-0.01409912109375,0.01617431640625,1.9728535353535355e-05,3.945707070707071e-05,5.918560606060606e-05,7.891414141414142e-05,9.864267676767677e-05,0.00011837121212121212,0.00013809974747474747,0.00015782828282828284,0.0001775568181818182,0.00019728535353535353,0.6490327454048285,0.09998321533203125,0.006256103515625,15.668028715251115,0.999969482421875,6.964712431936553e-06,0.05587294676210269,0.0,0.0030517578125,-1.0,1.999969482421875,0.13489966086890434,-0.4701566601696805,0.13489966068911435,0.018197918454038186,buka
348.2793002957478,204.39175965810293,16358.0,65433.0,-0.018035888671875,0.017913818359375,1.2226134585289515e-05,2.445226917057903e-05,3.6678403755868545e-05,4.890453834115806e-05,6.113067292644758e-05,7.335680751173709e-05,8.55829420970266e-05,9.780907668231612e-05,0.00011003521126760564,0.00012226134585289515,0.6681544742416166,0.029673767089843706,0.010284423828125,7.81661026050563,0.421295166015625,1.3920809368199212e-06,0.033728018516302485,0.0,0.005126953125,-0.448974609375,0.870269775390625,0.06525419219242758,-0.14505002408081177,0.06525419217757879,0.0042581095967483855,buka
400.5100769754499,303.4215138310516,12672.0,50688.0,-0.02587890625,0.02789306640625,1.5782828282828283e-05,3.1565656565656566e-05,4.734848484848485e-05,6.313131313131313e-05,7.891414141414142e-05,9.46969696969697e-05,0.00011047979797979799,0.00012626262626262626,0.00014204545454545454,0.00015782828282828284,0.7547979157816269,0.026910400390624978,0.03289794921875,5.459369907309533,0.40478515625,2.212717075540562e-06,0.04428719674771008,0.0,0.0164337158203125,-0.4349365234375,0.8397216796875,0.07950585997551289,-0.24385719181433596,0.07950585994472198,0.006321181765549747,buka
1332.1154480781406,572.2196603612821,22348.0,89395.0,-0.016845703125,0.02874755859375,8.949026345933563e-06,1.7898052691867126e-05,2.6847079037800687e-05,3.579610538373425e-05,4.474513172966781e-05,5.3694158075601374e-05,6.264318442153493e-05,7.15922107674685e-05,8.054123711340206e-05,8.949026345933562e-05,0.6261685030332431,0.046383666992187544,0.007415771484375,8.170636877108317,0.8189697265625,1.032874073496116e-06,0.05548950115336411,0.0,0.0030364990234375,-0.89788818359375,1.71685791015625,0.10918395596733237,-0.5283814166416482,0.10918395596244691,0.011921136239609546,buka
